EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,Attrition,Attrition_Flag,TenureRatio,JobHoppingIndex,SatisfactionScore,IncomeToLevelRatio,PromotionStagnation,ManagerStability,IsFrequentTraveler,HasNoStockOptions,IsEarlyCareer,LongCommute,AgeGroup
752,24,Female,Married,Research & Development,Life Sciences,4,Travel_Rarely,7,Laboratory Technician,3,2,1,1,2,2,3,7,3,0,0,0,0,0,0,No,18,8524,796,45,6344,Yes,1,0.0,2.3333333333333335,1.5,0.8290275236997349,0.0,0.0,0,1,1,0,18-25
753,21,Male,Single,Research & Development,Technical Degree,2,Travel_Rarely,17,Laboratory Technician,1,2,1,4,3,3,3,6,1,0,0,0,0,0,0,Yes,22,4714,1063,65,11700,Yes,1,0.0,6.0,2.75,0.8329715589018598,0.0,0.0,0,1,1,1,18-25
754,58,Male,Married,Research & Development,Human Resources,4,Travel_Frequently,29,Sales Executive,2,1,1,3,1,3,3,4,36,35,18,15,8,0,1,Yes,19,8076,434,99,23466,No,0,0.9722222222222222,0.1111111111111111,2.0,0.9996806541303713,0.42857142857142855,0.22857142857142856,1,0,0,1,56-60
755,41,Female,Single,Sales,Medical,4,Travel_Rarely,1,Research Scientist,4,4,3,4,4,3,3,8,19,17,11,3,5,2,1,No,14,10744,351,60,26608,No,0,0.8947368421052632,0.42105263157894735,3.5,0.8438369553292708,0.17647058823529413,0.29411764705882354,0,0,0,0,36-45
756,36,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,6,Human Resources,3,4,4,3,2,2,3,8,16,9,2,4,3,3,0,Yes,17,9770,1481,98,17389,No,0,0.5625,0.5,2.75,0.9502110401861109,0.4444444444444444,0.3333333333333333,0,1,0,0,36-45
757,49,Female,Married,Research & Development,Technical Degree,1,Travel_Rarely,5,Sales Representative,1,1,2,1,1,3,3,0,26,19,6,5,3,4,1,No,25,5542,112,51,23647,Yes,1,0.7307692307692307,0.0,1.75,0.9792805217297639,0.2631578947368421,0.15789473684210525,0,0,0,0,46-55
758,34,Male,Single,Sales,Human Resources,1,Travel_Rarely,10,Research Scientist,2,2,4,3,4,4,3,9,11,7,5,3,5,3,0,No,23,7743,364,84,22270,Yes,1,0.6363636363636364,0.8181818181818182,3.75,0.958460538005382,0.42857142857142855,0.7142857142857143,0,1,0,0,26-35
759,23,Male,Single,Research & Development,Medical,4,Travel_Rarely,4,Laboratory Technician,1,2,3,4,1,3,3,2,3,1,0,0,0,2,3,No,12,3947,1121,39,12607,No,0,0.3333333333333333,0.6666666666666666,2.75,0.6974413964755284,0.0,0.0,0,0,1,0,18-25
760,49,Female,Married,Research & Development,Life Sciences,2,Travel_Rarely,5,Manufacturing Director,4,3,2,1,2,3,3,7,26,18,12,8,13,5,1,No,20,15022,895,73,24214,No,0,0.6923076923076923,0.2692307692307692,2.0,1.1798323476318229,0.4444444444444444,0.7222222222222222,0,0,0,0,46-55
761,25,Male,Single,Research & Development,Life Sciences,2,Travel_Rarely,25,Human Resources,5,3,1,3,1,2,3,8,4,1,0,0,0,6,1,Yes,20,14781,551,83,3882,Yes,1,0.25,2.0,1.75,0.9958678950616645,0.0,0.0,0,0,0,1,18-25
762,41,Male,Divorced,Research & Development,Marketing,3,Non-Travel,14,Research Director,1,3,4,3,3,3,3,5,23,10,8,5,3,1,1,No,16,5991,262,77,22099,No,0,0.43478260869565216,0.21739130434782608,3.25,1.0586195607511757,0.5,0.3,0,0,0,0,36-45
763,58,Female,Married,Research & Development,Human Resources,4,Travel_Frequently,11,Sales Representative,2,1,1,2,4,3,3,8,40,21,16,5,17,1,1,No,16,11285,613,96,16531,No,0,0.525,0.2,2.5,1.39690393534686,0.23809523809523808,0.8095238095238095,1,0,0,0,56-60
764,58,Female,Married,Sales,Marketing,1,Travel_Frequently,13,Sales Executive,5,3,2,4,1,3,3,8,40,35,10,15,8,6,0,No,21,14334,178,72,16732,No,0,0.875,0.2,2.5,0.9657513299380217,0.42857142857142855,0.22857142857142856,1,1,0,0,56-60
765,33,Female,Single,Sales,Life Sciences,5,Travel_Rarely,29,Healthcare Representative,5,1,1,1,2,3,3,5,14,5,4,1,3,6,0,No,25,14894,875,71,25379,No,0,0.35714285714285715,0.35714285714285715,1.75,1.0034812549251357,0.2,0.6,0,1,0,1,26-35
766,51,Male,Married,Research & Development,Marketing,3,Travel_Frequently,15,Healthcare Representative,4,1,4,2,2,4,3,1,32,12,4,1,10,2,3,No,15,14393,783,75,8674,No,0,0.375,0.03125,3.0,1.1304305005634954,0.08333333333333333,0.8333333333333334,1,0,0,1,46-55
767,44,Male,Divorced,Research & Development,Technical Degree,1,Travel_Frequently,14,Manager,4,4,4,4,3,3,3,4,26,5,2,1,3,3,2,Yes,24,11987,1387,55,6942,No,0,0.19230769230769232,0.15384615384615385,3.5,0.9414625450048371,0.2,0.6,1,0,0,0,36-45
768,38,Female,Single,Sales,Medical,1,Travel_Rarely,27,Research Director,5,1,2,3,2,4,3,9,17,5,3,1,1,4,1,No,23,12203,1226,45,18500,No,0,0.29411764705882354,0.5294117647058824,2.75,0.8221754903888432,0.2,0.2,0,0,0,1,36-45
769,24,Male,Married,Research & Development,Technical Degree,5,Travel_Rarely,2,Laboratory Technician,2,1,2,1,3,1,3,2,4,3,1,0,0,4,2,Yes,11,6661,757,94,20540,Yes,1,0.75,0.5,1.75,0.8245261066322936,0.0,0.0,0,0,0,0,18-25
770,34,Male,Single,Sales,Medical,1,Travel_Rarely,14,Manager,5,2,3,1,3,3,3,9,13,7,2,1,2,6,0,Yes,15,14428,843,99,2121,No,0,0.5384615384615384,0.6923076923076923,2.5,0.972084567346573,0.14285714285714285,0.2857142857142857,0,1,0,0,26-35
771,46,Male,Married,Sales,Medical,3,Travel_Rarely,22,Laboratory Technician,5,3,3,3,1,4,4,1,25,8,5,0,6,0,1,No,17,16393,1065,96,14496,No,0,0.32,0.04,2.75,1.1044761791317141,0.0,0.75,0,0,0,1,46-55
772,60,Male,Married,Research & Development,Medical,4,Travel_Rarely,15,Research Scientist,2,3,2,4,3,4,3,6,40,38,18,15,11,3,1,Yes,20,8884,511,83,11436,No,0,0.95,0.15,3.25,1.0996982331964114,0.39473684210526316,0.2894736842105263,0,0,0,1,56-60
773,18,Female,Married,Research & Development,Medical,3,Travel_Frequently,26,Laboratory Technician,1,1,2,1,3,3,3,6,0,0,0,0,0,1,0,Yes,14,3410,941,45,22487,Yes,1,0.0,6.0,2.25,0.6025526126125036,0.0,0.0,1,1,1,1,18-25
774,48,Female,Married,Research & Development,Other,2,Travel_Rarely,26,Sales Representative,3,4,1,1,4,3,3,1,25,14,9,1,5,5,2,Yes,17,12846,123,46,23449,No,0,0.56,0.04,2.25,1.2493767678844199,0.07142857142857142,0.35714285714285715,0,0,0,1,46-55
775,54,Female,Single,Research & Development,Medical,1,Travel_Rarely,10,Manufacturing Director,4,2,2,2,3,3,3,4,35,29,15,13,11,4,2,No,12,12044,1414,51,5471,No,0,0.8285714285714286,0.11428571428571428,2.5,0.9459393419569748,0.4482758620689655,0.3793103448275862,0,0,0,0,46-55
776,58,Male,Single,Research & Development,Medical,4,Travel_Rarely,24,Sales Representative,5,3,3,1,4,3,3,1,39,31,13,11,13,5,2,No,12,20000,1416,66,16513,No,0,0.7948717948717948,0.02564102564102564,2.75,1.3474973209683574,0.3548387096774194,0.41935483870967744,0,0,0,1,56-60
777,36,Male,Single,Research & Development,Medical,3,Travel_Rarely,8,Sales Representative,1,1,3,1,2,2,3,3,15,5,3,2,1,6,1,No,17,5746,1345,46,20054,No,0,0.3333333333333333,0.2,2.0,1.0153276574989576,0.4,0.2,0,0,0,0,36-45
778,23,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,7,Manufacturing Director,2,4,4,2,3,3,3,9,1,0,0,0,0,5,0,Yes,20,6599,396,86,8515,Yes,1,0.0,9.0,3.0,0.8168514904168301,0.0,0.0,0,1,1,0,18-25
779,29,Male,Married,Sales,Medical,1,Travel_Frequently,29,Human Resources,4,2,3,3,4,3,3,0,8,5,3,0,2,5,1,Yes,17,10864,1203,35,25343,No,0,0.625,0.0,3.25,0.8532617910179819,0.0,0.4,1,0,0,1,26-35
780,54,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,1,Sales Executive,1,4,4,4,1,3,3,8,32,23,15,2,10,5,0,No,16,7877,904,94,24304,No,0,0.71875,0.25,3.0,1.3918788649702905,0.08695652173913043,0.43478260869565216,0,1,0,0,46-55
781,55,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,11,Human Resources,4,2,3,2,3,4,3,6,37,15,13,6,7,4,2,Yes,18,16547,1476,62,6304,No,0,0.40540540540540543,0.16216216216216217,3.0,1.2996063011758603,0.4,0.4666666666666667,0,0,0,0,46-55
782,45,Male,Single,Research & Development,Medical,2,Travel_Rarely,19,Sales Executive,2,3,2,3,4,3,3,7,27,22,16,9,8,2,0,No,20,9485,121,57,2381,No,0,0.8148148148148148,0.25925925925925924,3.0,1.174092496833404,0.4090909090909091,0.36363636363636365,0,1,0,1,36-45
783,23,Male,Single,Research & Development,Marketing,1,Travel_Rarely,12,Manufacturing Director,1,3,2,4,3,2,3,2,3,1,0,0,0,2,2,Yes,21,4501,656,61,16450,Yes,1,0.3333333333333333,0.6666666666666666,2.75,0.7953341083193193,0.0,0.0,0,0,1,0,18-25
784,23,Female,Single,Research & Development,Life Sciences,4,Travel_Rarely,25,Research Director,2,1,3,1,4,2,4,9,4,3,2,0,1,2,1,No,19,6555,236,64,24073,Yes,1,0.75,2.25,2.5,0.8114049885865012,0.0,0.3333333333333333,0,0,0,1,18-25
785,38,Male,Divorced,Research & Development,Marketing,4,Travel_Rarely,8,Sales Representative,4,1,2,4,2,3,3,2,20,19,11,9,9,4,0,Yes,12,10661,1424,69,19064,No,0,0.95,0.1,2.75,0.837318110644579,0.47368421052631576,0.47368421052631576,0,1,0,0,36-45
786,43,Male,Married,Sales,Medical,4,Travel_Rarely,17,Laboratory Technician,5,2,4,1,4,1,3,5,24,21,3,5,5,5,0,No,11,18319,338,52,20986,No,0,0.875,0.20833333333333334,2.5,1.234240171140967,0.23809523809523808,0.23809523809523808,0,1,0,1,36-45
787,19,Female,Married,Research & Development,Medical,1,Travel_Rarely,4,Research Director,1,1,1,3,3,4,3,0,0,0,0,0,0,2,1,No,16,3168,154,51,19997,Yes,1,0.0,0.0,2.75,0.5597908142980679,0.0,0.0,0,0,1,0,18-25
788,47,Female,Single,Research & Development,Technical Degree,2,Travel_Frequently,7,Research Scientist,3,3,1,4,2,1,4,8,24,10,7,1,7,4,0,Yes,14,10754,257,56,5659,No,0,0.4166666666666667,0.3333333333333333,2.0,1.0459129504771174,0.1,0.7,1,1,0,0,46-55
789,41,Female,Single,Sales,Technical Degree,2,Travel_Rarely,6,Sales Representative,2,1,2,4,1,3,3,7,19,4,1,1,3,2,2,No,19,7586,1451,41,3682,No,0,0.21052631578947367,0.3684210526315789,2.5,0.9390264292017084,0.25,0.75,0,0,0,0,36-45
790,18,Male,Married,Research & Development,Technical Degree,4,Travel_Rarely,22,Healthcare Representative,4,3,1,2,1,3,3,1,0,0,0,0,0,4,0,No,21,11952,843,46,3572,No,0,0.0,1.0,1.75,0.9387136345956296,0.0,0.0,0,1,1,1,18-25
791,22,Female,Married,Sales,Medical,5,Travel_Rarely,6,Research Scientist,4,1,1,3,2,3,4,6,0,0,0,0,0,5,0,No,14,11786,250,59,26593,Yes,1,0.0,6.0,2.25,0.9256759452262459,0.0,0.0,0,1,1,0,18-25
792,37,Male,Divorced,Sales,Medical,2,Travel_Frequently,20,Human Resources,5,1,2,1,4,3,3,1,14,10,4,4,3,2,0,No,18,15152,655,32,25780,No,0,0.7142857142857143,0.07142857142857142,2.5,1.0208639703656275,0.4,0.3,1,1,0,1,36-45
793,49,Male,Married,Human Resources,Technical Degree,4,Travel_Rarely,11,Sales Representative,2,2,1,2,2,2,3,4,30,23,18,8,14,2,0,Yes,14,7567,695,59,22846,No,0,0.7666666666666667,0.13333333333333333,1.75,0.9366745306840664,0.34782608695652173,0.6086956521739131,0,1,0,0,46-55
794,53,Male,Married,Research & Development,Medical,3,Non-Travel,17,Sales Executive,2,3,1,4,2,3,4,5,33,21,4,3,5,1,0,No,17,8379,1221,59,3675,No,0,0.6363636363636364,0.15151515151515152,2.5,1.0371872462801364,0.14285714285714285,0.23809523809523808,0,1,0,1,46-55
795,36,Male,Married,Research & Development,Marketing,5,Travel_Rarely,26,Sales Executive,2,2,3,1,2,3,4,9,13,4,2,0,3,3,2,Yes,16,6275,407,30,24216,Yes,1,0.3076923076923077,0.6923076923076923,2.25,0.7767454314844081,0.0,0.75,0,0,0,1,36-45
796,30,Male,Divorced,Sales,Medical,1,Travel_Rarely,26,Sales Executive,4,2,2,1,2,4,3,3,10,9,6,3,1,3,1,No,11,13905,262,63,26344,No,0,0.9,0.3,2.25,1.0921028354294033,0.3333333333333333,0.1111111111111111,0,0,0,1,26-35
797,59,Male,Married,Human Resources,Technical Degree,5,Travel_Rarely,1,Manufacturing Director,3,2,4,3,4,2,3,0,39,26,11,4,17,1,2,No,20,10461,1149,76,21618,No,0,0.6666666666666666,0.0,3.25,1.0174163450754254,0.15384615384615385,0.6538461538461539,0,0,0,0,56-60
798,37,Female,Married,Sales,Life Sciences,3,Travel_Rarely,23,Manufacturing Director,1,2,1,3,2,3,3,4,14,8,4,0,1,6,0,Yes,15,6134,703,85,12515,No,0,0.5714285714285714,0.2857142857142857,2.25,1.0838878961187968,0.0,0.125,0,1,0,1,36-45
799,31,Male,Divorced,Research & Development,Medical,2,Non-Travel,28,Sales Representative,5,2,3,2,2,3,3,9,10,6,1,3,2,6,0,No,22,11994,273,57,4325,No,0,0.6,0.9,2.5,0.8080941433847239,0.5,0.3333333333333333,0,1,0,1,26-35
800,37,Male,Single,Sales,Life Sciences,1,Travel_Rarely,20,Sales Representative,1,4,3,1,3,4,3,7,17,4,1,1,1,2,0,No,21,6249,699,67,10837,Yes,1,0.23529411764705882,0.4117647058823529,2.75,1.1042085854004502,0.25,0.25,0,1,0,1,36-45
801,18,Male,Divorced,Sales,Medical,5,Travel_Rarely,6,Sales Executive,5,3,3,1,3,3,3,0,0,0,0,0,0,6,1,Yes,13,13498,696,35,7101,No,0,0.0,0.0,2.5,0.9094259419215444,0.0,0.0,0,0,1,0,18-25
802,30,Male,Single,Research & Development,Marketing,5,Travel_Rarely,20,Healthcare Representative,1,2,3,3,2,3,3,0,8,1,0,0,0,1,0,No,24,5227,423,53,18251,No,0,0.125,0.0,2.75,0.9236195032626264,0.0,0.0,0,1,0,1,26-35
803,40,Male,Married,Sales,Medical,1,Travel_Rarely,19,Research Director,3,3,1,2,1,3,3,7,20,13,9,4,6,2,0,No,11,10925,380,77,24069,No,0,0.65,0.35,1.75,1.0625440751313473,0.3076923076923077,0.46153846153846156,0,1,0,1,36-45
804,57,Male,Divorced,Research & Development,Medical,3,Travel_Rarely,20,Human Resources,2,3,4,4,3,3,4,7,37,12,7,5,2,0,1,No,19,10684,234,62,14401,No,0,0.32432432432432434,0.1891891891891892,3.5,1.3225096717098672,0.4166666666666667,0.16666666666666666,0,0,0,1,56-60
805,49,Male,Married,Sales,Human Resources,4,Travel_Rarely,13,Laboratory Technician,4,4,2,2,3,4,3,5,31,11,1,0,9,4,0,No,23,14953,1276,97,3203,No,0,0.3548387096774194,0.16129032258064516,2.75,1.174413067110814,0.0,0.8181818181818182,0,1,0,0,46-55
806,51,Female,Married,Research & Development,Technical Degree,3,Travel_Rarely,16,Sales Executive,3,3,3,2,3,4,3,0,33,12,4,2,3,3,1,No,19,10561,114,86,11751,No,0,0.36363636363636365,0.0,3.0,1.027142148966788,0.16666666666666666,0.25,0,0,0,1,46-55
807,41,Female,Married,Research & Development,Medical,1,Travel_Rarely,19,Research Scientist,2,1,2,1,3,3,3,2,18,3,2,1,0,1,1,No,19,9204,811,94,21993,No,0,0.16666666666666666,0.1111111111111111,2.25,1.1393091555988035,0.3333333333333333,0.0,0,0,0,1,36-45
808,22,Male,Single,Research & Development,Other,2,Travel_Rarely,14,Manufacturing Director,3,3,2,3,3,3,3,8,4,3,0,1,0,2,1,No,18,9369,126,64,18004,No,0,0.75,2.0,2.75,0.9112105665817476,0.3333333333333333,0.0,0,0,0,0,18-25
809,34,Female,Single,Sales,Medical,2,Travel_Rarely,23,Manufacturing Director,5,4,3,2,4,4,3,1,11,9,6,2,4,6,0,No,11,12556,1225,35,3019,No,0,0.8181818181818182,0.09090909090909091,3.25,0.8459588181039347,0.2222222222222222,0.4444444444444444,0,1,0,1,26-35
810,60,Female,Single,Research & Development,Technical Degree,2,Travel_Frequently,21,Manufacturing Director,2,1,4,4,1,2,3,2,40,9,1,5,7,4,1,No,21,9237,658,69,10751,No,0,0.225,0.05,2.75,1.1433940319715503,0.5555555555555556,0.7777777777777778,1,0,0,1,56-60
811,19,Female,Married,Human Resources,Life Sciences,5,Travel_Frequently,9,Sales Executive,2,1,4,2,1,2,3,4,0,0,0,0,0,1,0,No,25,6273,1473,97,10797,Yes,1,0.0,4.0,2.25,0.7764978632193932,0.0,0.0,1,1,1,0,18-25
812,55,Female,Married,Sales,Life Sciences,2,Travel_Rarely,18,Manufacturing Director,1,3,3,4,4,4,3,7,33,27,12,7,17,0,0,Yes,22,8022,175,42,2858,No,0,0.8181818181818182,0.21212121212121213,3.75,1.4175006036297666,0.25925925925925924,0.6296296296296297,0,1,0,1,46-55
813,47,Female,Single,Sales,Medical,4,Non-Travel,22,Laboratory Technician,4,4,3,2,4,3,3,8,24,4,1,1,1,0,0,No,11,14562,564,98,10742,No,0,0.16666666666666666,0.3333333333333333,3.0,1.143703810825097,0.25,0.25,0,1,0,1,46-55
814,30,Female,Divorced,Research & Development,Life Sciences,5,Travel_Rarely,15,Healthcare Representative,4,2,3,2,2,2,3,5,10,5,2,0,1,1,0,No,14,10873,652,30,22615,No,0,0.5,0.5,2.25,0.8539686536946353,0.0,0.2,0,1,0,1,26-35
815,51,Female,Married,Sales,Medical,4,Travel_Rarely,21,Sales Executive,4,3,4,2,3,3,4,4,28,8,3,2,5,5,1,No,23,14427,196,73,5251,No,0,0.2857142857142857,0.14285714285714285,3.0,1.133100870675297,0.25,0.625,0,0,0,1,46-55
816,53,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,4,Research Director,1,3,1,2,2,3,3,3,33,22,14,0,15,0,1,Yes,21,5673,712,96,14865,No,0,0.6666666666666666,0.09090909090909091,2.0,1.002428437346256,0.0,0.6818181818181818,0,0,0,0,46-55
817,19,Male,Married,Research & Development,Marketing,1,Travel_Frequently,12,Manufacturing Director,4,3,4,2,4,3,3,0,0,0,0,0,0,1,1,No,16,10125,742,44,18418,No,0,0.0,0.0,3.25,0.7952205112350025,0.0,0.0,1,0,1,0,18-25
818,22,Male,Single,Sales,Life Sciences,1,Travel_Frequently,21,Laboratory Technician,5,1,3,4,2,3,3,2,4,1,0,0,0,0,0,Yes,14,15249,723,49,19167,No,0,0.25,0.5,3.0,1.027399332372324,0.0,0.0,1,1,0,1,18-25
819,46,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,26,Human Resources,5,2,3,3,4,1,4,2,27,26,6,14,2,4,0,No,17,13593,846,87,10245,No,0,0.9629629629629629,0.07407407407407407,2.75,0.915826554196144,0.5384615384615384,0.07692307692307693,0,1,0,1,46-55
820,60,Male,Married,Research & Development,Other,4,Travel_Rarely,19,Sales Representative,5,4,3,1,2,3,3,0,39,34,18,7,17,5,0,No,11,15871,368,54,16379,No,0,0.8717948717948718,0.0,2.25,1.0693064990544399,0.20588235294117646,0.5,0,1,0,1,56-60
821,19,Male,Single,Research & Development,Marketing,4,Non-Travel,20,Research Scientist,2,4,4,1,2,1,3,7,0,0,0,0,0,3,3,No,12,5017,434,76,20072,Yes,1,0.0,7.0,2.0,0.6210249927900041,0.0,0.0,0,0,1,1,18-25
822,46,Male,Divorced,Research & Development,Other,3,Travel_Rarely,10,Research Scientist,4,4,3,1,3,4,3,3,24,19,2,4,8,6,0,No,12,10706,798,38,17354,No,0,0.7916666666666666,0.125,2.75,0.8408524240278455,0.21052631578947367,0.42105263157894735,0,1,0,0,46-55
823,23,Male,Divorced,Sales,Medical,3,Non-Travel,21,Sales Executive,3,1,1,3,2,2,3,5,3,2,1,0,0,4,1,No,23,7603,1001,77,22949,Yes,1,0.6666666666666666,1.6666666666666667,2.0,0.7394528698602868,0.0,0.0,0,0,1,1,18-25
824,45,Female,Married,Research & Development,Life Sciences,1,Travel_Frequently,11,Manager,3,2,4,1,1,3,3,2,24,16,12,3,11,5,0,No,11,9139,649,66,7473,No,0,0.6666666666666666,0.08333333333333333,2.25,0.888841217631614,0.1875,0.6875,1,1,0,0,36-45
825,44,Male,Divorced,Research & Development,Medical,2,Travel_Frequently,2,Manufacturing Director,2,1,3,2,1,3,4,5,23,20,3,9,3,2,1,No,19,8335,739,65,4696,No,0,0.8695652173913043,0.21739130434782608,2.25,1.0317407444498075,0.45,0.15,1,0,0,0,36-45
826,21,Male,Divorced,Sales,Medical,3,Travel_Rarely,8,Manufacturing Director,4,2,4,4,4,3,3,1,0,0,0,0,0,6,1,Yes,15,12463,1485,82,25366,No,0,0.0,1.0,3.75,0.9788477265700579,0.0,0.0,0,0,1,0,18-25
827,47,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,18,Healthcare Representative,5,4,4,1,2,3,3,6,29,23,8,6,14,4,0,No,22,13355,1004,61,20357,No,0,0.7931034482758621,0.20689655172413793,2.5,0.8997913360766205,0.2608695652173913,0.6086956521739131,0,1,0,1,46-55
828,56,Female,Married,Sales,Human Resources,1,Travel_Rarely,28,Healthcare Representative,4,2,4,1,1,3,3,7,38,26,4,12,7,0,1,No,12,16435,163,78,13193,No,0,0.6842105263157895,0.18421052631578946,2.25,1.2908097878663967,0.46153846153846156,0.2692307692307692,0,0,0,1,56-60
829,55,Female,Married,Research & Development,Marketing,1,Travel_Rarely,15,Sales Executive,5,1,1,1,4,3,3,3,34,8,5,0,3,0,1,Yes,24,17384,604,60,16264,No,0,0.23529411764705882,0.08823529411764706,2.25,1.171244671385696,0.0,0.375,0,0,0,1,46-55
830,19,Female,Single,Sales,Technical Degree,2,Travel_Rarely,25,Sales Executive,5,3,3,2,4,2,3,2,1,0,0,0,0,6,1,No,12,11552,175,90,25002,Yes,1,0.0,2.0,2.75,0.7783144525913231,0.0,0.0,0,0,1,1,18-25
831,28,Female,Single,Research & Development,Medical,5,Travel_Rarely,23,Research Director,1,4,4,1,2,3,3,7,9,3,1,0,1,1,3,No,23,4356,1325,69,23671,Yes,1,0.3333333333333333,0.7777777777777778,2.5,0.7697123696598432,0.0,0.3333333333333333,0,0,0,1,26-35
832,28,Male,Single,Research & Development,Marketing,4,Travel_Rarely,17,Human Resources,5,3,4,3,3,3,4,2,7,3,2,1,2,3,2,No,13,12180,1254,50,22172,No,0,0.42857142857142855,0.2857142857142857,3.25,0.8206258684697296,0.3333333333333333,0.6666666666666666,0,0,0,1,26-35
833,37,Male,Married,Research & Development,Life Sciences,5,Non-Travel,24,Research Director,5,4,3,3,4,3,3,1,18,6,2,3,3,5,1,No,11,16459,752,92,16772,No,0,0.3333333333333333,0.05555555555555555,3.25,1.1089229202909097,0.5,0.5,0,0,0,1,36-45
834,24,Male,Divorced,Human Resources,Other,2,Travel_Rarely,12,Human Resources,3,3,4,1,1,3,3,3,5,2,1,0,0,5,2,No,11,9747,472,52,20002,No,0,0.4,0.6,2.25,0.9479741052910976,0.0,0.0,0,0,0,0,18-25
835,54,Female,Married,Research & Development,Medical,3,Travel_Rarely,13,Healthcare Representative,4,3,4,3,2,3,4,9,34,14,8,0,5,0,2,No,22,12982,1106,96,16508,No,0,0.4117647058823529,0.2647058823529412,3.0,1.0196101409237335,0.0,0.35714285714285715,0,0,0,0,46-55
836,51,Female,Single,Research & Development,Life Sciences,5,Travel_Rarely,22,Research Director,4,4,1,2,3,3,3,4,29,19,7,5,11,4,0,Yes,16,11254,357,98,13502,No,0,0.6551724137931034,0.13793103448275862,2.25,0.8838925070062932,0.2631578947368421,0.5789473684210527,0,1,0,1,46-55
837,52,Male,Single,Research & Development,Life Sciences,2,Travel_Frequently,19,Research Director,4,2,4,1,3,2,3,2,32,9,4,4,3,6,1,No,17,12092,1178,69,18844,No,0,0.28125,0.0625,2.5,0.9497092762324593,0.4444444444444444,0.3333333333333333,1,0,0,1,46-55
838,26,Male,Married,Research & Development,Marketing,4,Travel_Rarely,16,Human Resources,5,2,3,2,2,3,4,5,4,1,0,0,0,2,1,No,23,14171,1324,62,2566,No,0,0.25,1.25,2.5,0.9547692267721296,0.0,0.0,0,0,0,1,26-35
839,18,Male,Married,Research & Development,Other,4,Travel_Rarely,13,Research Scientist,1,3,3,3,1,2,3,3,0,0,0,0,0,3,1,No,14,3278,351,48,22661,No,0,0.0,3.0,2.25,0.5792279953500841,0.0,0.0,0,0,1,0,18-25
840,57,Male,Divorced,Research & Development,Human Resources,5,Travel_Rarely,29,Research Scientist,1,3,1,1,4,3,3,6,39,21,9,5,4,1,1,Yes,19,7675,845,89,9880,No,0,0.5384615384615384,0.15384615384615385,2.25,1.3561851324929517,0.23809523809523808,0.19047619047619047,0,0,0,1,56-60
841,30,Male,Divorced,Sales,Marketing,5,Travel_Rarely,2,Manufacturing Director,2,2,4,4,3,3,4,4,12,2,1,0,0,5,2,No,15,7644,316,49,15629,No,0,0.16666666666666666,0.3333333333333333,3.5,0.946205908887142,0.0,0.0,0,0,0,0,26-35
842,46,Male,Divorced,Research & Development,Other,4,Travel_Rarely,2,Healthcare Representative,3,2,2,4,4,3,3,5,23,22,18,6,17,0,2,No,11,11442,962,73,18621,No,0,0.9565217391304348,0.21739130434782608,3.25,1.112826481249691,0.2727272727272727,0.7727272727272727,0,0,0,0,46-55
843,57,Female,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,14,Human Resources,5,1,2,1,2,2,3,4,38,16,8,0,10,3,0,No,25,14330,1044,87,10194,No,0,0.42105263157894735,0.10526315789473684,1.75,0.965481830473828,0.0,0.625,0,1,0,0,56-60
844,19,Male,Divorced,Sales,Medical,5,Travel_Rarely,1,Laboratory Technician,4,3,2,1,3,3,3,4,1,0,0,0,0,2,1,No,16,10742,111,42,10266,No,0,0.0,4.0,2.25,0.8436798747344589,0.0,0.0,0,0,1,0,18-25
845,18,Female,Married,Sales,Marketing,4,Travel_Frequently,10,Research Director,1,1,4,2,2,3,3,4,0,0,0,0,0,4,1,No,23,3830,1422,42,6422,No,0,0.0,4.0,2.75,0.6767673039020201,0.0,0.0,1,0,1,0,18-25
846,18,Female,Single,Human Resources,Life Sciences,2,Travel_Rarely,17,Research Director,4,2,2,4,2,4,3,3,0,0,0,0,0,3,2,No,17,12196,465,97,4478,Yes,1,0.0,3.0,3.0,0.9578774671626756,0.0,0.0,0,0,1,1,18-25
847,24,Male,Single,Research & Development,Life Sciences,4,Travel_Rarely,12,Human Resources,3,2,1,1,3,3,3,9,4,2,1,0,1,6,1,No,24,8777,748,100,24040,Yes,1,0.5,2.25,2.0,0.8536338075448818,0.0,0.5,0,0,0,0,18-25
