EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,Attrition,Attrition_Flag
778,23,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,7,Manufacturing Director,2,4,4,2,3,3,3,9,1,0,0,0,0,5,0,Yes,20,6599,396,86,8515,Yes,1
779,29,Male,Married,Sales,Medical,1,Travel_Frequently,29,Human Resources,4,2,3,3,4,3,3,0,8,5,3,0,2,5,1,Yes,17,10864,1203,35,25343,No,0
780,54,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,1,Sales Executive,1,4,4,4,1,3,3,8,32,23,15,2,10,5,0,No,16,7877,904,94,24304,No,0
781,55,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,11,Human Resources,4,2,3,2,3,4,3,6,37,15,13,6,7,4,2,Yes,18,16547,1476,62,6304,No,0
782,45,Male,Single,Research & Development,Medical,2,Travel_Rarely,19,Sales Executive,2,3,2,3,4,3,3,7,27,22,16,9,8,2,0,No,20,9485,121,57,2381,No,0
783,23,Male,Single,Research & Development,Marketing,1,Travel_Rarely,12,Manufacturing Director,1,3,2,4,3,2,3,2,3,1,0,0,0,2,2,Yes,21,4501,656,61,16450,Yes,1
784,23,Female,Single,Research & Development,Life Sciences,4,Travel_Rarely,25,Research Director,2,1,3,1,4,2,4,9,4,3,2,0,1,2,1,No,19,6555,236,64,24073,Yes,1
785,38,Male,Divorced,Research & Development,Marketing,4,Travel_Rarely,8,Sales Representative,4,1,2,4,2,3,3,2,20,19,11,9,9,4,0,Yes,12,10661,1424,69,19064,No,0
786,43,Male,Married,Sales,Medical,4,Travel_Rarely,17,Laboratory Technician,5,2,4,1,4,1,3,5,24,21,3,5,5,5,0,No,11,18319,338,52,20986,No,0
787,19,Female,Married,Research & Development,Medical,1,Travel_Rarely,4,Research Director,1,1,1,3,3,4,3,0,0,0,0,0,0,2,1,No,16,3168,154,51,19997,Yes,1
788,47,Female,Single,Research & Development,Technical Degree,2,Travel_Frequently,7,Research Scientist,3,3,1,4,2,1,4,8,24,10,7,1,7,4,0,Yes,14,10754,257,56,5659,No,0
789,41,Female,Single,Sales,Technical Degree,2,Travel_Rarely,6,Sales Representative,2,1,2,4,1,3,3,7,19,4,1,1,3,2,2,No,19,7586,1451,41,3682,No,0
790,18,Male,Married,Research & Development,Technical Degree,4,Travel_Rarely,22,Healthcare Representative,4,3,1,2,1,3,3,1,0,0,0,0,0,4,0,No,21,11952,843,46,3572,No,0
791,22,Female,Married,Sales,Medical,5,Travel_Rarely,6,Research Scientist,4,1,1,3,2,3,4,6,0,0,0,0,0,5,0,No,14,11786,250,59,26593,Yes,1
792,37,Male,Divorced,Sales,Medical,2,Travel_Frequently,20,Human Resources,5,1,2,1,4,3,3,1,14,10,4,4,3,2,0,No,18,15152,655,32,25780,No,0
793,49,Male,Married,Human Resources,Technical Degree,4,Travel_Rarely,11,Sales Representative,2,2,1,2,2,2,3,4,30,23,18,8,14,2,0,Yes,14,7567,695,59,22846,No,0
794,53,Male,Married,Research & Development,Medical,3,Non-Travel,17,Sales Executive,2,3,1,4,2,3,4,5,33,21,4,3,5,1,0,No,17,8379,1221,59,3675,No,0
795,36,Male,Married,Research & Development,Marketing,5,Travel_Rarely,26,Sales Executive,2,2,3,1,2,3,4,9,13,4,2,0,3,3,2,Yes,16,6275,407,30,24216,Yes,1
796,30,Male,Divorced,Sales,Medical,1,Travel_Rarely,26,Sales Executive,4,2,2,1,2,4,3,3,10,9,6,3,1,3,1,No,11,13905,262,63,26344,No,0
797,59,Male,Married,Human Resources,Technical Degree,5,Travel_Rarely,1,Manufacturing Director,3,2,4,3,4,2,3,0,39,26,11,4,17,1,2,No,20,10461,1149,76,21618,No,0
798,37,Female,Married,Sales,Life Sciences,3,Travel_Rarely,23,Manufacturing Director,1,2,1,3,2,3,3,4,14,8,4,0,1,6,0,Yes,15,6134,703,85,12515,No,0
799,31,Male,Divorced,Research & Development,Medical,2,Non-Travel,28,Sales Representative,5,2,3,2,2,3,3,9,10,6,1,3,2,6,0,No,22,11994,273,57,4325,No,0
800,37,Male,Single,Sales,Life Sciences,1,Travel_Rarely,20,Sales Representative,1,4,3,1,3,4,3,7,17,4,1,1,1,2,0,No,21,6249,699,67,10837,Yes,1
801,18,Male,Divorced,Sales,Medical,5,Travel_Rarely,6,Sales Executive,5,3,3,1,3,3,3,0,0,0,0,0,0,6,1,Yes,13,13498,696,35,7101,No,0
802,30,Male,Single,Research & Development,Marketing,5,Travel_Rarely,20,Healthcare Representative,1,2,3,3,2,3,3,0,8,1,0,0,0,1,0,No,24,5227,423,53,18251,No,0
803,40,Male,Married,Sales,Medical,1,Travel_Rarely,19,Research Director,3,3,1,2,1,3,3,7,20,13,9,4,6,2,0,No,11,10925,380,77,24069,No,0
804,57,Male,Divorced,Research & Development,Medical,3,Travel_Rarely,20,Human Resources,2,3,4,4,3,3,4,7,37,12,7,5,2,0,1,No,19,10684,234,62,14401,No,0
805,49,Male,Married,Sales,Human Resources,4,Travel_Rarely,13,Laboratory Technician,4,4,2,2,3,4,3,5,31,11,1,0,9,4,0,No,23,14953,1276,97,3203,No,0
806,51,Female,Married,Research & Development,Technical Degree,3,Travel_Rarely,16,Sales Executive,3,3,3,2,3,4,3,0,33,12,4,2,3,3,1,No,19,10561,114,86,11751,No,0
807,41,Female,Married,Research & Development,Medical,1,Travel_Rarely,19,Research Scientist,2,1,2,1,3,3,3,2,18,3,2,1,0,1,1,No,19,9204,811,94,21993,No,0
808,22,Male,Single,Research & Development,Other,2,Travel_Rarely,14,Manufacturing Director,3,3,2,3,3,3,3,8,4,3,0,1,0,2,1,No,18,9369,126,64,18004,No,0
809,34,Female,Single,Sales,Medical,2,Travel_Rarely,23,Manufacturing Director,5,4,3,2,4,4,3,1,11,9,6,2,4,6,0,No,11,12556,1225,35,3019,No,0
810,60,Female,Single,Research & Development,Technical Degree,2,Travel_Frequently,21,Manufacturing Director,2,1,4,4,1,2,3,2,40,9,1,5,7,4,1,No,21,9237,658,69,10751,No,0
811,19,Female,Married,Human Resources,Life Sciences,5,Travel_Frequently,9,Sales Executive,2,1,4,2,1,2,3,4,0,0,0,0,0,1,0,No,25,6273,1473,97,10797,Yes,1
812,55,Female,Married,Sales,Life Sciences,2,Travel_Rarely,18,Manufacturing Director,1,3,3,4,4,4,3,7,33,27,12,7,17,0,0,Yes,22,8022,175,42,2858,No,0
813,47,Female,Single,Sales,Medical,4,Non-Travel,22,Laboratory Technician,4,4,3,2,4,3,3,8,24,4,1,1,1,0,0,No,11,14562,564,98,10742,No,0
814,30,Female,Divorced,Research & Development,Life Sciences,5,Travel_Rarely,15,Healthcare Representative,4,2,3,2,2,2,3,5,10,5,2,0,1,1,0,No,14,10873,652,30,22615,No,0
815,51,Female,Married,Sales,Medical,4,Travel_Rarely,21,Sales Executive,4,3,4,2,3,3,4,4,28,8,3,2,5,5,1,No,23,14427,196,73,5251,No,0
816,53,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,4,Research Director,1,3,1,2,2,3,3,3,33,22,14,0,15,0,1,Yes,21,5673,712,96,14865,No,0
817,19,Male,Married,Research & Development,Marketing,1,Travel_Frequently,12,Manufacturing Director,4,3,4,2,4,3,3,0,0,0,0,0,0,1,1,No,16,10125,742,44,18418,No,0
818,22,Male,Single,Sales,Life Sciences,1,Travel_Frequently,21,Laboratory Technician,5,1,3,4,2,3,3,2,4,1,0,0,0,0,0,Yes,14,15249,723,49,19167,No,0
819,46,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,26,Human Resources,5,2,3,3,4,1,4,2,27,26,6,14,2,4,0,No,17,13593,846,87,10245,No,0
820,60,Male,Married,Research & Development,Other,4,Travel_Rarely,19,Sales Representative,5,4,3,1,2,3,3,0,39,34,18,7,17,5,0,No,11,15871,368,54,16379,No,0
821,19,Male,Single,Research & Development,Marketing,4,Non-Travel,20,Research Scientist,2,4,4,1,2,1,3,7,0,0,0,0,0,3,3,No,12,5017,434,76,20072,Yes,1
822,46,Male,Divorced,Research & Development,Other,3,Travel_Rarely,10,Research Scientist,4,4,3,1,3,4,3,3,24,19,2,4,8,6,0,No,12,10706,798,38,17354,No,0
823,23,Male,Divorced,Sales,Medical,3,Non-Travel,21,Sales Executive,3,1,1,3,2,2,3,5,3,2,1,0,0,4,1,No,23,7603,1001,77,22949,Yes,1
824,45,Female,Married,Research & Development,Life Sciences,1,Travel_Frequently,11,Manager,3,2,4,1,1,3,3,2,24,16,12,3,11,5,0,No,11,9139,649,66,7473,No,0
825,44,Male,Divorced,Research & Development,Medical,2,Travel_Frequently,2,Manufacturing Director,2,1,3,2,1,3,4,5,23,20,3,9,3,2,1,No,19,8335,739,65,4696,No,0
826,21,Male,Divorced,Sales,Medical,3,Travel_Rarely,8,Manufacturing Director,4,2,4,4,4,3,3,1,0,0,0,0,0,6,1,Yes,15,12463,1485,82,25366,No,0
827,47,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,18,Healthcare Representative,5,4,4,1,2,3,3,6,29,23,8,6,14,4,0,No,22,13355,1004,61,20357,No,0
828,56,Female,Married,Sales,Human Resources,1,Travel_Rarely,28,Healthcare Representative,4,2,4,1,1,3,3,7,38,26,4,12,7,0,1,No,12,16435,163,78,13193,No,0
829,55,Female,Married,Research & Development,Marketing,1,Travel_Rarely,15,Sales Executive,5,1,1,1,4,3,3,3,34,8,5,0,3,0,1,Yes,24,17384,604,60,16264,No,0
830,19,Female,Single,Sales,Technical Degree,2,Travel_Rarely,25,Sales Executive,5,3,3,2,4,2,3,2,1,0,0,0,0,6,1,No,12,11552,175,90,25002,Yes,1
831,28,Female,Single,Research & Development,Medical,5,Travel_Rarely,23,Research Director,1,4,4,1,2,3,3,7,9,3,1,0,1,1,3,No,23,4356,1325,69,23671,Yes,1
832,28,Male,Single,Research & Development,Marketing,4,Travel_Rarely,17,Human Resources,5,3,4,3,3,3,4,2,7,3,2,1,2,3,2,No,13,12180,1254,50,22172,No,0
833,37,Male,Married,Research & Development,Life Sciences,5,Non-Travel,24,Research Director,5,4,3,3,4,3,3,1,18,6,2,3,3,5,1,No,11,16459,752,92,16772,No,0
834,24,Male,Divorced,Human Resources,Other,2,Travel_Rarely,12,Human Resources,3,3,4,1,1,3,3,3,5,2,1,0,0,5,2,No,11,9747,472,52,20002,No,0
835,54,Female,Married,Research & Development,Medical,3,Travel_Rarely,13,Healthcare Representative,4,3,4,3,2,3,4,9,34,14,8,0,5,0,2,No,22,12982,1106,96,16508,No,0
836,51,Female,Single,Research & Development,Life Sciences,5,Travel_Rarely,22,Research Director,4,4,1,2,3,3,3,4,29,19,7,5,11,4,0,Yes,16,11254,357,98,13502,No,0
837,52,Male,Single,Research & Development,Life Sciences,2,Travel_Frequently,19,Research Director,4,2,4,1,3,2,3,2,32,9,4,4,3,6,1,No,17,12092,1178,69,18844,No,0
838,26,Male,Married,Research & Development,Marketing,4,Travel_Rarely,16,Human Resources,5,2,3,2,2,3,4,5,4,1,0,0,0,2,1,No,23,14171,1324,62,2566,No,0
839,18,Male,Married,Research & Development,Other,4,Travel_Rarely,13,Research Scientist,1,3,3,3,1,2,3,3,0,0,0,0,0,3,1,No,14,3278,351,48,22661,No,0
840,57,Male,Divorced,Research & Development,Human Resources,5,Travel_Rarely,29,Research Scientist,1,3,1,1,4,3,3,6,39,21,9,5,4,1,1,Yes,19,7675,845,89,9880,No,0
841,30,Male,Divorced,Sales,Marketing,5,Travel_Rarely,2,Manufacturing Director,2,2,4,4,3,3,4,4,12,2,1,0,0,5,2,No,15,7644,316,49,15629,No,0
842,46,Male,Divorced,Research & Development,Other,4,Travel_Rarely,2,Healthcare Representative,3,2,2,4,4,3,3,5,23,22,18,6,17,0,2,No,11,11442,962,73,18621,No,0
843,57,Female,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,14,Human Resources,5,1,2,1,2,2,3,4,38,16,8,0,10,3,0,No,25,14330,1044,87,10194,No,0
844,19,Male,Divorced,Sales,Medical,5,Travel_Rarely,1,Laboratory Technician,4,3,2,1,3,3,3,4,1,0,0,0,0,2,1,No,16,10742,111,42,10266,No,0
845,18,Female,Married,Sales,Marketing,4,Travel_Frequently,10,Research Director,1,1,4,2,2,3,3,4,0,0,0,0,0,4,1,No,23,3830,1422,42,6422,No,0
846,18,Female,Single,Human Resources,Life Sciences,2,Travel_Rarely,17,Research Director,4,2,2,4,2,4,3,3,0,0,0,0,0,3,2,No,17,12196,465,97,4478,Yes,1
847,24,Male,Single,Research & Development,Life Sciences,4,Travel_Rarely,12,Human Resources,3,2,1,1,3,3,3,9,4,2,1,0,1,6,1,No,24,8777,748,100,24040,Yes,1
848,20,Male,Married,Sales,Medical,3,Travel_Rarely,6,Research Scientist,2,4,1,2,4,3,3,2,0,0,0,0,0,6,0,No,13,5975,462,53,14943,No,0
849,53,Female,Single,Research & Development,Life Sciences,2,Non-Travel,9,Laboratory Technician,4,2,4,3,4,3,3,8,35,22,17,7,15,1,0,No,19,12096,1367,46,18979,No,0
850,44,Male,Single,Research & Development,Other,3,Non-Travel,18,Research Scientist,2,1,1,1,3,2,3,7,22,12,7,4,9,0,0,No,16,8886,1165,75,5861,Yes,1
851,60,Female,Divorced,Research & Development,Other,4,Travel_Frequently,28,Sales Representative,4,3,4,1,1,3,3,5,40,21,3,9,7,3,0,No,25,15261,1485,71,23318,No,0
852,52,Male,Single,Research & Development,Medical,5,Travel_Frequently,23,Sales Representative,1,1,1,1,3,3,3,3,34,33,14,12,11,4,0,No,16,7684,639,48,9655,No,0
853,59,Female,Divorced,Human Resources,Marketing,3,Travel_Rarely,16,Manufacturing Director,2,2,4,1,4,3,3,4,37,36,9,8,17,5,0,No,22,10268,887,45,13508,No,0
854,28,Female,Married,Research & Development,Medical,1,Travel_Rarely,5,Sales Executive,3,2,3,3,2,1,3,8,5,3,0,1,1,3,2,Yes,18,10260,908,70,14547,No,0
855,30,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,8,Healthcare Representative,4,1,1,4,3,3,3,1,9,2,1,0,1,4,0,No,17,13342,422,49,20594,No,0
856,54,Male,Married,Research & Development,Medical,3,Travel_Rarely,13,Sales Representative,5,4,4,2,2,3,3,5,31,20,2,6,10,0,0,No,21,14878,1404,68,4906,No,0
857,28,Female,Married,Research & Development,Life Sciences,2,Travel_Rarely,8,Healthcare Representative,2,2,2,2,1,3,4,7,8,7,6,0,1,5,1,No,20,6110,1309,78,24677,No,0
858,20,Male,Married,Sales,Medical,4,Travel_Rarely,20,Laboratory Technician,5,3,4,1,3,2,3,6,0,0,0,0,0,2,0,No,18,15257,1478,48,4813,No,0
859,46,Male,Single,Sales,Life Sciences,2,Travel_Frequently,11,Manager,5,4,3,4,2,3,3,1,26,9,4,2,5,2,1,Yes,11,16846,740,70,17933,No,0
860,52,Male,Divorced,Human Resources,Life Sciences,2,Travel_Rarely,25,Manager,2,2,2,4,3,3,4,5,31,10,3,1,1,2,2,Yes,12,10761,278,100,7252,No,0
861,59,Male,Single,Research & Development,Life Sciences,5,Travel_Rarely,8,Manager,1,4,1,3,3,2,3,1,36,11,1,4,4,0,0,No,19,7278,322,68,25084,No,0
862,57,Female,Single,Research & Development,Human Resources,5,Travel_Frequently,15,Research Director,2,2,2,2,4,3,3,9,36,30,17,1,3,3,1,Yes,11,11286,878,39,16795,No,0
863,23,Female,Married,Research & Development,Life Sciences,3,Travel_Rarely,21,Laboratory Technician,4,4,1,1,4,4,3,3,5,2,0,0,1,2,0,No,20,9665,1245,82,25628,Yes,1
864,51,Male,Married,Research & Development,Medical,2,Travel_Rarely,6,Manager,4,2,4,4,3,4,3,4,30,14,8,7,2,1,1,No,24,14119,1078,61,25329,No,0
865,54,Female,Married,Research & Development,Medical,5,Travel_Rarely,23,Research Director,4,1,1,1,1,1,3,8,34,15,8,6,2,1,1,Yes,22,14010,1125,80,8693,No,0
866,48,Male,Married,Sales,Medical,1,Travel_Frequently,17,Research Scientist,4,4,1,1,3,3,3,4,27,11,3,4,8,0,0,No,21,10833,1194,32,7975,No,0
867,53,Male,Single,Sales,Medical,4,Travel_Rarely,19,Laboratory Technician,1,4,1,3,4,2,3,1,32,28,13,7,4,6,1,No,15,6100,1279,80,4813,No,0
868,54,Male,Married,Research & Development,Life Sciences,3,Travel_Rarely,14,Sales Executive,3,4,4,1,2,4,4,8,33,17,5,4,11,2,1,No,20,10089,1388,78,19995,No,0
869,37,Female,Single,Research & Development,Marketing,5,Travel_Rarely,28,Manufacturing Director,5,1,4,1,3,3,3,6,14,5,1,0,2,6,0,No,13,12030,608,30,2615,No,0
870,19,Male,Single,Research & Development,Medical,3,Travel_Rarely,23,Sales Executive,2,4,3,3,4,3,3,6,0,0,0,0,0,5,0,No,24,7252,1119,62,6734,Yes,1
871,37,Male,Single,Sales,Marketing,5,Travel_Rarely,6,Sales Representative,5,2,1,1,2,2,3,0,14,9,0,3,2,3,1,Yes,12,17009,489,63,24723,No,0
872,26,Male,Married,Research & Development,Medical,1,Travel_Rarely,17,Sales Executive,1,4,3,2,2,3,3,4,5,3,0,0,0,5,0,No,19,5007,1065,69,17887,No,0
873,22,Female,Married,Research & Development,Medical,4,Travel_Rarely,27,Sales Representative,5,4,4,3,2,2,3,4,3,2,1,0,0,1,1,No,18,15905,177,73,13268,No,0
874,23,Male,Married,Research & Development,Medical,1,Travel_Rarely,9,Manager,4,1,1,1,4,3,3,2,4,1,0,0,0,1,2,No,12,12602,175,79,5442,No,0
875,47,Male,Single,Sales,Life Sciences,4,Travel_Rarely,16,Human Resources,4,2,4,4,2,3,3,5,24,4,3,0,3,6,1,No,13,15236,379,94,23127,No,0
876,39,Female,Single,Research & Development,Medical,1,Travel_Rarely,22,Manufacturing Director,4,2,1,1,2,3,3,2,16,3,2,0,0,4,0,No,21,10907,862,84,23134,No,0
877,41,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,8,Manufacturing Director,5,2,4,3,3,3,3,4,23,17,11,4,4,4,1,No,19,13881,1374,52,3154,No,0
878,50,Male,Single,Research & Development,Medical,4,Travel_Frequently,16,Laboratory Technician,2,3,3,1,3,2,3,8,31,29,14,8,6,6,1,No,13,10383,938,98,20562,No,0
879,41,Male,Married,Sales,Marketing,1,Travel_Rarely,17,Healthcare Representative,1,2,4,3,4,2,3,7,19,8,3,2,2,0,1,No,13,5636,885,63,10226,No,0
880,45,Male,Divorced,Sales,Life Sciences,5,Travel_Rarely,6,Research Scientist,5,3,2,4,4,3,3,2,27,22,2,2,5,1,3,No,20,16972,1075,91,19018,No,0
881,21,Male,Married,Sales,Life Sciences,2,Travel_Rarely,6,Research Scientist,1,3,4,4,4,3,3,2,3,2,1,0,1,6,1,No,20,4266,1340,64,9370,No,0
882,54,Female,Divorced,Research & Development,Marketing,3,Travel_Rarely,17,Human Resources,4,1,4,2,4,1,3,0,31,30,13,14,3,0,0,No,17,12726,916,52,2366,No,0
883,37,Female,Single,Research & Development,Medical,1,Travel_Rarely,6,Sales Representative,2,1,2,1,2,3,3,3,19,10,3,1,8,3,0,Yes,11,7335,1133,81,20849,Yes,1
884,24,Female,Single,Sales,Technical Degree,1,Travel_Rarely,28,Research Scientist,5,3,3,4,2,3,3,0,5,1,0,0,0,0,2,Yes,11,14883,673,81,22910,No,0
885,52,Female,Married,Research & Development,Other,2,Travel_Rarely,16,Manager,5,1,2,3,3,3,3,1,29,23,16,7,17,2,1,No,13,16059,1493,38,19098,No,0
886,49,Male,Married,Sales,Other,3,Travel_Rarely,21,Laboratory Technician,3,1,2,1,3,3,3,9,31,26,13,3,11,1,2,No,11,10821,782,35,5771,Yes,1
887,20,Male,Divorced,Research & Development,Medical,3,Travel_Frequently,12,Research Scientist,3,3,4,1,3,1,4,8,0,0,0,0,0,1,1,No,19,8884,1350,83,13253,Yes,1
888,26,Female,Single,Research & Development,Life Sciences,5,Travel_Rarely,9,Healthcare Representative,3,2,1,2,1,2,3,5,5,4,3,1,2,5,3,Yes,16,8703,1454,39,15337,Yes,1
889,18,Male,Married,Sales,Marketing,1,Travel_Rarely,15,Research Director,3,1,1,3,1,3,3,7,0,0,0,0,0,1,1,Yes,14,8424,1335,62,21837,Yes,1
890,29,Female,Married,Sales,Marketing,4,Travel_Rarely,21,Sales Executive,5,2,2,2,1,3,3,4,7,5,4,2,4,5,2,No,19,14720,560,62,21416,No,0
891,22,Female,Single,Sales,Marketing,1,Travel_Rarely,12,Manufacturing Director,2,3,4,4,2,3,3,6,4,1,0,0,0,6,2,No,21,6467,622,61,24198,No,0
892,48,Male,Single,Sales,Medical,2,Travel_Rarely,9,Human Resources,5,4,1,3,4,4,3,9,30,16,13,3,14,3,2,No,13,18695,1198,62,17791,No,0
893,40,Male,Divorced,Research & Development,Life Sciences,1,Travel_Rarely,5,Manufacturing Director,4,4,2,4,4,1,3,0,21,8,6,2,6,3,2,No,20,12727,1400,97,25495,No,0
894,60,Male,Single,Sales,Life Sciences,1,Travel_Rarely,16,Sales Executive,5,3,3,4,4,3,3,3,40,12,5,6,3,2,1,No,12,19879,950,65,22475,No,0
895,50,Male,Divorced,Sales,Life Sciences,3,Non-Travel,20,Manufacturing Director,4,4,2,2,3,3,3,1,27,6,4,1,2,4,1,No,19,15136,1188,91,7003,No,0
896,44,Male,Married,Human Resources,Life Sciences,5,Travel_Rarely,16,Sales Representative,5,3,3,4,1,2,3,7,26,19,3,11,12,5,1,No,16,17902,721,63,19721,No,0
897,39,Male,Married,Research & Development,Other,4,Travel_Rarely,8,Human Resources,3,2,3,2,4,4,3,8,19,17,2,7,5,6,1,No,12,11333,1299,63,4129,No,0
898,20,Female,Married,Sales,Life Sciences,5,Travel_Rarely,8,Manager,3,4,4,1,4,4,3,7,0,0,0,0,0,1,1,Yes,23,8843,680,75,20901,No,0
899,21,Female,Divorced,Research & Development,Marketing,3,Travel_Frequently,11,Sales Executive,2,2,4,2,4,3,3,6,2,1,0,0,0,4,1,No,13,6463,970,46,7534,Yes,1
900,44,Female,Single,Research & Development,Other,1,Travel_Rarely,11,Research Director,2,4,2,2,2,4,4,4,24,4,0,0,2,0,1,Yes,22,8629,852,97,9469,Yes,1
901,18,Male,Single,Research & Development,Medical,2,Travel_Rarely,6,Research Director,1,4,2,4,1,1,3,0,0,0,0,0,0,3,1,No,16,3443,1270,96,16351,No,0
902,19,Male,Married,Research & Development,Medical,5,Travel_Rarely,28,Manager,2,2,2,4,4,4,3,7,1,0,0,0,0,0,2,No,21,5605,1219,42,11477,Yes,1
903,27,Male,Married,Sales,Marketing,1,Travel_Rarely,10,Human Resources,5,3,2,1,1,3,3,8,6,3,2,1,2,3,1,No,21,11262,1274,40,18189,No,0
904,56,Male,Single,Sales,Life Sciences,1,Travel_Frequently,8,Sales Representative,5,4,4,1,4,2,3,9,33,30,8,9,17,5,1,No,17,17763,271,55,14536,No,0
905,37,Female,Single,Research & Development,Medical,5,Travel_Frequently,18,Laboratory Technician,4,4,3,3,4,3,3,3,17,10,5,4,3,5,2,No,21,10646,443,43,17900,No,0
906,48,Male,Married,Research & Development,Technical Degree,1,Travel_Frequently,24,Manufacturing Director,2,1,3,3,4,3,3,2,27,19,4,8,3,5,1,Yes,17,9020,1374,35,16654,No,0
907,35,Male,Single,Research & Development,Technical Degree,5,Travel_Rarely,14,Healthcare Representative,3,4,2,3,3,3,3,6,13,9,2,0,6,4,1,No,20,8390,282,87,7150,No,0
908,25,Female,Single,Sales,Technical Degree,4,Travel_Rarely,20,Healthcare Representative,4,3,3,2,4,3,3,0,2,0,0,0,0,4,1,No,14,9186,1183,44,19291,No,0
909,33,Male,Divorced,Research & Development,Other,4,Travel_Frequently,3,Manager,1,1,3,4,4,3,3,0,11,5,4,1,2,0,1,No,17,4987,988,56,25966,No,0
910,21,Male,Single,Sales,Medical,3,Travel_Rarely,16,Sales Representative,5,1,3,2,4,2,3,8,0,0,0,0,0,5,1,No,13,14990,588,100,15889,No,0
911,51,Male,Divorced,Research & Development,Technical Degree,1,Travel_Rarely,2,Sales Executive,5,3,4,2,2,2,3,9,29,16,4,6,5,4,0,No,17,14995,153,58,17180,No,0
912,25,Female,Divorced,Research & Development,Marketing,3,Travel_Rarely,4,Manager,5,2,4,2,3,2,4,4,2,1,0,0,0,1,0,No,11,15440,114,32,19761,No,0
913,34,Female,Single,Research & Development,Marketing,5,Travel_Rarely,18,Sales Executive,1,1,1,4,4,3,3,5,11,6,2,2,0,4,2,No,17,4005,1349,47,4115,Yes,1
914,60,Male,Married,Sales,Technical Degree,5,Travel_Rarely,6,Healthcare Representative,5,3,1,2,1,3,3,5,38,21,3,5,7,2,2,No,23,16497,247,45,5768,No,0
915,43,Female,Married,Research & Development,Technical Degree,3,Non-Travel,2,Manufacturing Director,4,3,4,3,1,3,3,1,23,8,1,0,4,3,0,No,16,11240,1142,69,15953,No,0
916,37,Female,Married,Research & Development,Human Resources,5,Travel_Frequently,6,Research Scientist,3,1,2,4,2,2,3,2,18,8,3,4,1,5,2,No,18,9489,302,60,11866,No,0
917,41,Female,Single,Research & Development,Medical,4,Travel_Frequently,23,Human Resources,1,2,2,1,2,2,3,2,20,18,5,5,15,2,1,No,23,4727,655,35,19298,Yes,1
918,51,Male,Single,Research & Development,Marketing,1,Travel_Frequently,18,Laboratory Technician,3,2,4,3,4,3,3,8,29,12,9,5,8,6,0,Yes,11,9254,245,50,24832,No,0
919,28,Male,Single,Research & Development,Life Sciences,4,Travel_Rarely,12,Sales Executive,2,4,3,3,4,2,3,4,6,4,2,0,1,2,1,No,21,7310,991,63,21558,No,0
920,45,Female,Married,Sales,Marketing,4,Non-Travel,29,Manufacturing Director,5,3,1,4,1,3,3,7,24,5,2,1,2,3,0,Yes,18,16299,243,68,7423,No,0
921,55,Male,Divorced,Sales,Technical Degree,3,Travel_Rarely,12,Sales Representative,2,1,1,1,2,3,4,1,37,11,4,2,4,0,0,No,16,8614,976,59,9680,No,0
922,42,Female,Married,Research & Development,Technical Degree,4,Travel_Frequently,26,Sales Executive,2,3,4,3,4,3,4,9,23,10,7,2,4,0,2,No,14,9647,1444,100,5591,No,0
923,37,Female,Married,Sales,Medical,5,Travel_Rarely,11,Healthcare Representative,5,4,4,4,3,3,3,8,16,14,3,1,7,1,1,No,19,15685,1138,64,4440,No,0
924,24,Male,Divorced,Sales,Medical,3,Travel_Frequently,1,Manufacturing Director,1,1,2,2,1,3,3,4,4,1,0,0,0,6,0,No,17,3996,1021,79,20620,Yes,1
925,28,Female,Married,Research & Development,Medical,2,Travel_Rarely,4,Research Director,5,4,4,3,3,1,3,2,8,6,0,1,1,1,1,No,16,13392,1368,70,19300,No,0
926,58,Female,Single,Sales,Life Sciences,5,Travel_Rarely,8,Sales Executive,5,1,1,2,4,4,4,9,39,13,10,2,2,2,1,Yes,21,15482,1248,58,6860,No,0
927,41,Female,Divorced,Sales,Life Sciences,5,Travel_Rarely,6,Sales Executive,2,3,4,3,2,2,3,8,23,15,3,3,3,5,1,Yes,16,9422,1126,32,19620,No,0
928,30,Male,Married,Sales,Human Resources,4,Travel_Rarely,5,Manager,4,2,1,2,2,1,3,5,10,6,4,1,3,2,0,Yes,23,11732,887,78,13440,Yes,1
929,35,Female,Single,Sales,Life Sciences,4,Travel_Frequently,12,Research Scientist,4,3,3,1,3,3,4,2,15,10,1,3,8,5,0,No,15,10533,646,91,23902,No,0
